exchange,code,name,tracking_index,fund_manager
SSE,510010,治理ETF,,
SSE,510020,超大ETF,,
SSE,510030,价值ETF,399367 价值指数,
SSE,510040,上证180E,000010 上证180,
SSE,510050,50ETF,000016 上证50,
SSE,510060,央企ETF,000015 红利指数,
SSE,510090,ESG建信,,
SSE,510100,SZ50ETF,000016 上证50,
SSE,510130,中盘ETF,,
SSE,510150,消费ETF,000932 中证消费,
SSE,510160,产业升级,,
SSE,510170,商品ETF,,
SSE,510180,180ETF,000010 上证180,
SSE,510190,上证50基,000016 上证50,
SSE,510200,上证券商,,
SSE,510210,综指ETF,,
SSE,510230,金融ETF,000914 中证金融,
SSE,510270,国企ETF,000015 红利指数,
SSE,510290,380ETF,,
SSE,510300,300ETF,000300 沪深300,
SSE,510310,HS300ETF,000300 沪深300,
SSE,510320,300中金,000300 沪深300,
SSE,510330,华夏300,000300 沪深300,
SSE,510350,工银300,000300 沪深300,
SSE,510360,广发300,000300 沪深300,
SSE,510370,兴业300,000300 沪深300,
SSE,510380,国寿300,000300 沪深300,
SSE,510390,平安300,000300 沪深300,
SSE,510410,资源ETF,,
SSE,510500,500ETF,000016 上证50,
SSE,510510,广发500,000016 上证50,
SSE,510530,工银500,000016 上证50,
SSE,510550,方正500,000016 上证50,
SSE,510560,国寿500,000016 上证50,
SSE,510570,兴业500,000016 上证50,
SSE,510580,ZZ500ETF,000016 上证50,
SSE,510590,平安500,000016 上证50,
SSE,510600,沪50ETF,000016 上证50,
SSE,510630,消费30,000932 中证消费,
SSE,510650,金融行业,000914 中证金融,
SSE,510660,医药行业,000933 中证医药,
SSE,510670,180指,000010 上证180,
SSE,510680,万家50,000016 上证50,
SSE,510710,上50ETF,000016 上证50,
SSE,510720,红利国泰,000015 红利指数,
SSE,510760,上证ETF,,
SSE,510770,G60创新,,
SSE,510800,上证50,000016 上证50,
SSE,510810,上海国企,000015 红利指数,
SSE,510850,工银上50,000016 上证50,
SSE,510010,治理ETF,,
SSE,510020,超大ETF,,
SSE,510030,价值ETF,399367 价值指数,
SSE,510040,上证180E,000010 上证180,
SSE,510050,50ETF,000016 上证50,
SSE,510060,央企ETF,000015 红利指数,
SSE,510090,ESG建信,,
SSE,510100,SZ50ETF,000016 上证50,
SSE,510130,中盘ETF,,
SSE,510150,消费ETF,000932 中证消费,
SSE,510160,产业升级,,
SSE,510170,商品ETF,,
SSE,510180,180ETF,000010 上证180,
SSE,510190,上证50基,000016 上证50,
SSE,510200,上证券商,,
SSE,510210,综指ETF,,
SSE,510230,金融ETF,000914 中证金融,
SSE,510270,国企ETF,000015 红利指数,
SSE,510290,380ETF,,
SSE,510300,300ETF,000300 沪深300,
SSE,510310,HS300ETF,000300 沪深300,
SSE,510320,300中金,000300 沪深300,
SSE,510330,华夏300,000300 沪深300,
SSE,510350,工银300,000300 沪深300,
SSE,510360,广发300,000300 沪深300,
SSE,510370,兴业300,000300 沪深300,
SSE,510380,国寿300,000300 沪深300,
SSE,510390,平安300,000300 沪深300,
SSE,510410,资源ETF,,
SSE,510500,500ETF,000016 上证50,
SSE,510510,广发500,000016 上证50,
SSE,510530,工银500,000016 上证50,
SSE,510550,方正500,000016 上证50,
SSE,510560,国寿500,000016 上证50,
SSE,510570,兴业500,000016 上证50,
SSE,510580,ZZ500ETF,000016 上证50,
SSE,510590,平安500,000016 上证50,
SSE,510600,沪50ETF,000016 上证50,
SSE,510630,消费30,000932 中证消费,
SSE,510650,金融行业,000914 中证金融,
SSE,510660,医药行业,000933 中证医药,
SSE,510670,180指,000010 上证180,
SSE,510680,万家50,000016 上证50,
SSE,510710,上50ETF,000016 上证50,
SSE,510720,红利国泰,000015 红利指数,
SSE,510760,上证ETF,,
SSE,510770,G60创新,,
SSE,510800,上证50,000016 上证50,
SSE,510810,上海国企,000015 红利指数,
SSE,510850,工银上50,000016 上证50,
SSE,510010,治理ETF,,
SSE,510020,超大ETF,,
SSE,510030,价值ETF,399367 价值指数,
SSE,510040,上证180E,000010 上证180,
SSE,510050,50ETF,000016 上证50,
SSE,510060,央企ETF,000015 红利指数,
SSE,510090,ESG建信,,
SSE,510100,SZ50ETF,000016 上证50,
SSE,510130,中盘ETF,,
SSE,510150,消费ETF,000932 中证消费,
SSE,510160,产业升级,,
SSE,510170,商品ETF,,
SSE,510180,180ETF,000010 上证180,
SSE,510190,上证50基,000016 上证50,
SSE,510200,上证券商,,
SSE,510210,综指ETF,,
SSE,510230,金融ETF,000914 中证金融,
SSE,510270,国企ETF,000015 红利指数,
SSE,510290,380ETF,,
SSE,510300,300ETF,000300 沪深300,
SSE,510310,HS300ETF,000300 沪深300,
SSE,510320,300中金,000300 沪深300,
SSE,510330,华夏300,000300 沪深300,
SSE,510350,工银300,000300 沪深300,
SSE,510360,广发300,000300 沪深300,
SSE,510370,兴业300,000300 沪深300,
SSE,510380,国寿300,000300 沪深300,
SSE,510390,平安300,000300 沪深300,
SSE,510410,资源ETF,,
SSE,510500,500ETF,000016 上证50,
SSE,510510,广发500,000016 上证50,
SSE,510530,工银500,000016 上证50,
SSE,510550,方正500,000016 上证50,
SSE,510560,国寿500,000016 上证50,
SSE,510570,兴业500,000016 上证50,
SSE,510580,ZZ500ETF,000016 上证50,
SSE,510590,平安500,000016 上证50,
SSE,510600,沪50ETF,000016 上证50,
SSE,510630,消费30,000932 中证消费,
SSE,510650,金融行业,000914 中证金融,
SSE,510660,医药行业,000933 中证医药,
SSE,510670,180指,000010 上证180,
SSE,510680,万家50,000016 上证50,
SSE,510710,上50ETF,000016 上证50,
SSE,510720,红利国泰,000015 红利指数,
SSE,510760,上证ETF,,
SSE,510770,G60创新,,
SSE,510800,上证50,000016 上证50,
SSE,510810,上海国企,000015 红利指数,
SSE,510850,工银上50,000016 上证50,
SSE,510010,治理ETF,,
SSE,510020,超大ETF,,
SSE,510030,价值ETF,399367 价值指数,
SSE,510040,上证180E,000010 上证180,
SSE,510050,50ETF,000016 上证50,
SSE,510060,央企ETF,000015 红利指数,
SSE,510090,ESG建信,,
SSE,510100,SZ50ETF,000016 上证50,
SSE,510130,中盘ETF,,
SSE,510150,消费ETF,000932 中证消费,
SSE,510160,产业升级,,
SSE,510170,商品ETF,,
SSE,510180,180ETF,000010 上证180,
SSE,510190,上证50基,000016 上证50,
SSE,510200,上证券商,,
SSE,510210,综指ETF,,
SSE,510230,金融ETF,000914 中证金融,
SSE,510270,国企ETF,000015 红利指数,
SSE,510290,380ETF,,
SSE,510300,300ETF,000300 沪深300,
SSE,510310,HS300ETF,000300 沪深300,
SSE,510320,300中金,000300 沪深300,
SSE,510330,华夏300,000300 沪深300,
SSE,510350,工银300,000300 沪深300,
SSE,510360,广发300,000300 沪深300,
SSE,510370,兴业300,000300 沪深300,
SSE,510380,国寿300,000300 沪深300,
SSE,510390,平安300,000300 沪深300,
SSE,510410,资源ETF,,
SSE,510500,500ETF,000016 上证50,
SSE,510510,广发500,000016 上证50,
SSE,510530,工银500,000016 上证50,
SSE,510550,方正500,000016 上证50,
SSE,510560,国寿500,000016 上证50,
SSE,510570,兴业500,000016 上证50,
SSE,510580,ZZ500ETF,000016 上证50,
SSE,510590,平安500,000016 上证50,
SSE,510600,沪50ETF,000016 上证50,
SSE,510630,消费30,000932 中证消费,
SSE,510650,金融行业,000914 中证金融,
SSE,510660,医药行业,000933 中证医药,
SSE,510670,180指,000010 上证180,
SSE,510680,万家50,000016 上证50,
SSE,510710,上50ETF,000016 上证50,
SSE,510720,红利国泰,000015 红利指数,
SSE,510760,上证ETF,,
SSE,510770,G60创新,,
SSE,510800,上证50,000016 上证50,
SSE,510810,上海国企,000015 红利指数,
SSE,510850,工银上50,000016 上证50,
SSE,510010,治理ETF,,
SSE,510020,超大ETF,,
SSE,510030,价值ETF,399367 价值指数,
SSE,510040,上证180E,000010 上证180,
SSE,510050,50ETF,000016 上证50,
SSE,510060,央企ETF,000015 红利指数,
SSE,510090,ESG建信,,
SSE,510100,SZ50ETF,000016 上证50,
SSE,510130,中盘ETF,,
SSE,510150,消费ETF,000932 中证消费,
SSE,510160,产业升级,,
SSE,510170,商品ETF,,
SSE,510180,180ETF,000010 上证180,
SSE,510190,上证50基,000016 上证50,
SSE,510200,上证券商,,
SSE,510210,综指ETF,,
SSE,510230,金融ETF,000914 中证金融,
SSE,510270,国企ETF,000015 红利指数,
SSE,510290,380ETF,,
SSE,510300,300ETF,000300 沪深300,
SSE,510310,HS300ETF,000300 沪深300,
SSE,510320,300中金,000300 沪深300,
SSE,510330,华夏300,000300 沪深300,
SSE,510350,工银300,000300 沪深300,
SSE,510360,广发300,000300 沪深300,
SSE,510370,兴业300,000300 沪深300,
SSE,510380,国寿300,000300 沪深300,
SSE,510390,平安300,000300 沪深300,
SSE,510410,资源ETF,,
SSE,510500,500ETF,000016 上证50,
SSE,510510,广发500,000016 上证50,
SSE,510530,工银500,000016 上证50,
SSE,510550,方正500,000016 上证50,
SSE,510560,国寿500,000016 上证50,
SSE,510570,兴业500,000016 上证50,
SSE,510580,ZZ500ETF,000016 上证50,
SSE,510590,平安500,000016 上证50,
SSE,510600,沪50ETF,000016 上证50,
SSE,510630,消费30,000932 中证消费,
SSE,510650,金融行业,000914 中证金融,
SSE,510660,医药行业,000933 中证医药,
SSE,510670,180指,000010 上证180,
SSE,510680,万家50,000016 上证50,
SSE,510710,上50ETF,000016 上证50,
SSE,510720,红利国泰,000015 红利指数,
SSE,510760,上证ETF,,
SSE,510770,G60创新,,
SSE,510800,上证50,000016 上证50,
SSE,510810,上海国企,000015 红利指数,
SSE,510850,工银上50,000016 上证50,
SSE,510010,治理ETF,,
SSE,510020,超大ETF,,
SSE,510030,价值ETF,399367 价值指数,
SSE,510040,上证180E,000010 上证180,
SSE,510050,50ETF,000016 上证50,
SSE,510060,央企ETF,000015 红利指数,
SSE,510090,ESG建信,,
SSE,510100,SZ50ETF,000016 上证50,
SSE,510130,中盘ETF,,
SSE,510150,消费ETF,000932 中证消费,
SSE,510160,产业升级,,
SSE,510170,商品ETF,,
SSE,510180,180ETF,000010 上证180,
SSE,510190,上证50基,000016 上证50,
SSE,510200,上证券商,,
SSE,510210,综指ETF,,
SSE,510230,金融ETF,000914 中证金融,
SSE,510270,国企ETF,000015 红利指数,
SSE,510290,380ETF,,
SSE,510300,300ETF,000300 沪深300,
SSE,510310,HS300ETF,000300 沪深300,
SSE,510320,300中金,000300 沪深300,
SSE,510330,华夏300,000300 沪深300,
SSE,510350,工银300,000300 沪深300,
SSE,510360,广发300,000300 沪深300,
SSE,510370,兴业300,000300 沪深300,
SSE,510380,国寿300,000300 沪深300,
SSE,510390,平安300,000300 沪深300,
SSE,510410,资源ETF,,
SSE,510500,500ETF,000016 上证50,
SSE,510510,广发500,000016 上证50,
SSE,510530,工银500,000016 上证50,
SSE,510550,方正500,000016 上证50,
SSE,510560,国寿500,000016 上证50,
SSE,510570,兴业500,000016 上证50,
SSE,510580,ZZ500ETF,000016 上证50,
SSE,510590,平安500,000016 上证50,
SSE,510600,沪50ETF,000016 上证50,
SSE,510630,消费30,000932 中证消费,
SSE,510650,金融行业,000914 中证金融,
SSE,510660,医药行业,000933 中证医药,
SSE,510670,180指,000010 上证180,
SSE,510680,万家50,000016 上证50,
SSE,510710,上50ETF,000016 上证50,
SSE,510720,红利国泰,000015 红利指数,
SSE,510760,上证ETF,,
SSE,510770,G60创新,,
SSE,510800,上证50,000016 上证50,
SSE,510810,上海国企,000015 红利指数,
SSE,510850,工银上50,000016 上证50,
SSE,510010,治理ETF,,
SSE,510020,超大ETF,,
SSE,510030,价值ETF,399367 价值指数,
SSE,510040,上证180E,000010 上证180,
SSE,510050,50ETF,000016 上证50,
SSE,510060,央企ETF,000015 红利指数,
SSE,510090,ESG建信,,
SSE,510100,SZ50ETF,000016 上证50,
SSE,510130,中盘ETF,,
SSE,510150,消费ETF,000932 中证消费,
SSE,510160,产业升级,,
SSE,510170,商品ETF,,
SSE,510180,180ETF,000010 上证180,
SSE,510190,上证50基,000016 上证50,
SSE,510200,上证券商,,
SSE,510210,综指ETF,,
SSE,510230,金融ETF,000914 中证金融,
SSE,510270,国企ETF,000015 红利指数,
SSE,510290,380ETF,,
SSE,510300,300ETF,000300 沪深300,
SSE,510310,HS300ETF,000300 沪深300,
SSE,510320,300中金,000300 沪深300,
SSE,510330,华夏300,000300 沪深300,
SSE,510350,工银300,000300 沪深300,
SSE,510360,广发300,000300 沪深300,
SSE,510370,兴业300,000300 沪深300,
SSE,510380,国寿300,000300 沪深300,
SSE,510390,平安300,000300 沪深300,
SSE,510410,资源ETF,,
SSE,510500,500ETF,000016 上证50,
SSE,510510,广发500,000016 上证50,
SSE,510530,工银500,000016 上证50,
SSE,510550,方正500,000016 上证50,
SSE,510560,国寿500,000016 上证50,
SSE,510570,兴业500,000016 上证50,
SSE,510580,ZZ500ETF,000016 上证50,
SSE,510590,平安500,000016 上证50,
SSE,510600,沪50ETF,000016 上证50,
SSE,510630,消费30,000932 中证消费,
SSE,510650,金融行业,000914 中证金融,
SSE,510660,医药行业,000933 中证医药,
SSE,510670,180指,000010 上证180,
SSE,510680,万家50,000016 上证50,
SSE,510710,上50ETF,000016 上证50,
SSE,510720,红利国泰,000015 红利指数,
SSE,510760,上证ETF,,
SSE,510770,G60创新,,
SSE,510800,上证50,000016 上证50,
SSE,510810,上海国企,000015 红利指数,
SSE,510850,工银上50,000016 上证50,
SSE,510010,治理ETF,,
SSE,510020,超大ETF,,
SSE,510030,价值ETF,399367 价值指数,
SSE,510040,上证180E,000010 上证180,
SSE,510050,50ETF,000016 上证50,
SSE,510060,央企ETF,000015 红利指数,
SSE,510090,ESG建信,,
SSE,510100,SZ50ETF,000016 上证50,
SSE,510130,中盘ETF,,
SSE,510150,消费ETF,000932 中证消费,
SSE,510160,产业升级,,
SSE,510170,商品ETF,,
SSE,510180,180ETF,000010 上证180,
SSE,510190,上证50基,000016 上证50,
SSE,510200,上证券商,,
SSE,510210,综指ETF,,
SSE,510230,金融ETF,000914 中证金融,
SSE,510270,国企ETF,000015 红利指数,
SSE,510290,380ETF,,
SSE,510300,300ETF,000300 沪深300,
SSE,510310,HS300ETF,000300 沪深300,
SSE,510320,300中金,000300 沪深300,
SSE,510330,华夏300,000300 沪深300,
SSE,510350,工银300,000300 沪深300,
SSE,510360,广发300,000300 沪深300,
SSE,510370,兴业300,000300 沪深300,
SSE,510380,国寿300,000300 沪深300,
SSE,510390,平安300,000300 沪深300,
SSE,510410,资源ETF,,
SSE,510500,500ETF,000016 上证50,
SSE,510510,广发500,000016 上证50,
SSE,510530,工银500,000016 上证50,
SSE,510550,方正500,000016 上证50,
SSE,510560,国寿500,000016 上证50,
SSE,510570,兴业500,000016 上证50,
SSE,510580,ZZ500ETF,000016 上证50,
SSE,510590,平安500,000016 上证50,
SSE,510600,沪50ETF,000016 上证50,
SSE,510630,消费30,000932 中证消费,
SSE,510650,金融行业,000914 中证金融,
SSE,510660,医药行业,000933 中证医药,
SSE,510670,180指,000010 上证180,
SSE,510680,万家50,000016 上证50,
SSE,510710,上50ETF,000016 上证50,
SSE,510720,红利国泰,000015 红利指数,
SSE,510760,上证ETF,,
SSE,510770,G60创新,,
SSE,510800,上证50,000016 上证50,
SSE,510810,上海国企,000015 红利指数,
SSE,510850,工银上50,000016 上证50,
SSE,510010,治理ETF,,
SSE,510020,超大ETF,,
SSE,510030,价值ETF,399367 价值指数,
SSE,510040,上证180E,000010 上证180,
SSE,510050,50ETF,000016 上证50,
SSE,510060,央企ETF,000015 红利指数,
SSE,510090,ESG建信,,
SSE,510100,SZ50ETF,000016 上证50,
SSE,510130,中盘ETF,,
SSE,510150,消费ETF,000932 中证消费,
SSE,510160,产业升级,,
SSE,510170,商品ETF,,
SSE,510180,180ETF,000010 上证180,
SSE,510190,上证50基,000016 上证50,
SSE,510200,上证券商,,
SSE,510210,综指ETF,,
SSE,510230,金融ETF,000914 中证金融,
SSE,510270,国企ETF,000015 红利指数,
SSE,510290,380ETF,,
SSE,510300,300ETF,000300 沪深300,
SSE,510310,HS300ETF,000300 沪深300,
SSE,510320,300中金,000300 沪深300,
SSE,510330,华夏300,000300 沪深300,
SSE,510350,工银300,000300 沪深300,
SSE,510360,广发300,000300 沪深300,
SSE,510370,兴业300,000300 沪深300,
SSE,510380,国寿300,000300 沪深300,
SSE,510390,平安300,000300 沪深300,
SSE,510410,资源ETF,,
SSE,510500,500ETF,000016 上证50,
SSE,510510,广发500,000016 上证50,
SSE,510530,工银500,000016 上证50,
SSE,510550,方正500,000016 上证50,
SSE,510560,国寿500,000016 上证50,
SSE,510570,兴业500,000016 上证50,
SSE,510580,ZZ500ETF,000016 上证50,
SSE,510590,平安500,000016 上证50,
SSE,510600,沪50ETF,000016 上证50,
SSE,510630,消费30,000932 中证消费,
SSE,510650,金融行业,000914 中证金融,
SSE,510660,医药行业,000933 中证医药,
SSE,510670,180指,000010 上证180,
SSE,510680,万家50,000016 上证50,
SSE,510710,上50ETF,000016 上证50,
SSE,510720,红利国泰,000015 红利指数,
SSE,510760,上证ETF,,
SSE,510770,G60创新,,
SSE,510800,上证50,000016 上证50,
SSE,510810,上海国企,000015 红利指数,
